"Floss#","Description","Red","Green","Blue"
341,"Blue Violet Light",183,191,221
156,"Blue Violet Med Lt",163,174,209
340,"Blue Violet Medium",173,167,199
155,"Blue Violet Med Dark",152,145,182
3746,"Blue Violet Dark",119,107,152
333,"Blue Violet Very Dark",92,84,120
157,"Cornflower Blue Vy Lt",187,195,217
794,"Cornflower Blue Light",143,156,193
793,"Cornflower Blue Med",112,125,162
3807,"Cornflower Blue",96,103,140
792,"Cornflower Blue Dark",85,91,123
158,"Cornflower Blu M V D",76,82,110
791,"Cornflower Blue V D",70,69,99
3840,"Lavender Blue Light",176,192,218
3839,"Lavender Blue Med",123,142,171
3838,"Lavender Blue Dark",92,114,148
800,"Delft Blue Pale",192,204,222
809,"Delft Blue",148,168,198
799,"Delft Blue Medium",116,142,182
798,"Delft Blue Dark",70,106,142
797,"Royal Blue",19,71,125
796,"Royal Blue Dark",17,65,109
820,"Royal Blue Very Dark",14,54,92
162,"Blue Ultra Very Light",219,236,245
827,"Blue Very Light",189,221,237
813,"Blue Light",161,194,215
826,"Blue Medium",107,158,191
825,"Blue Dark",71,129,165
824,"Blue Very Dark",57,105,135
996,"Electric Blue Medium",48,194,236
3843,"Electric Blue",20,170,208
995,"Electric Blue Dark",38,150,182
3846,"Turquoise Bright Light",6,227,230
3845,"Turquoise Bright Med",4,196,202
3844,"Turquoise Bright Dark",18,174,186
159,"Blue Gray Light",199,202,215
160,"Blue Gray Medium",153,159,183
161,"Blue Gray",120,128,164
3756,"Baby Blue Ult Vy Lt",238,252,252
775,"Baby Blue Very Light",217,235,241
3841,"Baby Blue Pale",205,223,237
3325,"Baby Blue Light",184,210,230
3755,"Baby Blue",147,180,206
334,"Baby Blue Medium",115,159,193
322,"Baby Blue Dark",90,143,184
312,"Baby Blue Very Dark",53,102,139
803,"Baby Blue Ult Vy Dk",44,89,124
336,"Navy Blue",37,59,115
823,"Navy Blue Dark",33,48,99
939,"Navy Blue Very Dark",27,40,83
3753,"Antique Blue Ult Vy Lt",219,226,233
3752,"Antique Blue Very Lt",199,209,219
932,"Antique Blue Light",162,181,198
931,"Antique Blue Medium",106,133,158
930,"Antique Blue Dark",69,92,113
3750,"Antique Blue Very Dk",56,76,94
828,"Sky Blue Vy Lt",197,232,237
3761,"Sky Blue Light",172,216,226
519,"Sky Blue",126,177,200
518,"Wedgewood Light",79,147,167
3760,"Wedgewood Med",62,133,162
517,"Wedgewood Dark",59,118,143
3842,"Wedgewood Vry Dk",50,102,124
311,"Wedgewood Ult VyDk",28,80,102
747,"Peacock Blue Vy Lt",229,252,253
3766,"Peacock Blue Light",153,207,217
807,"Peacock Blue",100,171,186
806,"Peacock Blue Dark",61,149,165
3765,"Peacock Blue Vy Dk",52,127,140
3811,"Turquoise Very Light",188,227,230
598,"Turquoise Light",144,195,204
597,"Turquoise",91,163,179
3810,"Turquoise Dark",72,142,154
3809,"Turquoise Vy Dark",63,124,133
3808,"Turquoise Ult Vy Dk",54,105,112
928,"Gray Green Vy Lt",221,227,227
927,"Gray Green Light",189,203,203
926,"Gray Green Med",152,174,174
3768,"Gray Green Dark",101,127,127
924,"Gray Green Vy Dark",86,106,106
3849,"Teal Green Light",82,179,164
3848,"Teal Green Med",85,147,146
3847,"Teal Green Dark",52,125,117
964,"Sea Green Light",169,226,216
959,"Sea Green Med",89,199,180
958,"Sea Green Dark",62,182,161
3812,"Sea Green Vy Dk",47,140,132
3851,"Green Bright Lt",73,179,161
943,"Green Bright Md",61,147,132
3850,"Green Bright Dk",55,132,119
993,"Aquamarine Vy Lt",144,192,180
992,"Aquamarine Lt",111,174,159
3814,"Aquamarine",80,139,125
991,"Aquamarine Dk",71,123,110
966,"Jade Ultra Vy Lt",185,215,192
564,"Jade Very Light",167,205,175
563,"Jade Light",143,192,152
562,"Jade Medium",83,151,106
505,"Jade Green",51,131,98
3817,"Celadon Green Lt",153,195,170
3816,"Celadon Green",101,165,125
163,"Celadon Green Md",77,131,97
3815,"Celadon Green Dk",71,119,89
561,"Celadon Green VD",44,106,69
504,"Blue Green Vy Lt",196,222,204
3813,"Blue Green Lt",178,212,189
503,"Blue Green Med",123,172,148
502,"Blue Green",91,144,113
501,"Blue Green Dark",57,111,82
500,"Blue Green Vy Dk",4,77,51
955,"Nile Green Light",162,214,173
954,"Nile Green",136,186,145
913,"Nile Green Med",109,171,119
912,"Emerald Green Lt",27,157,107
911,"Emerald Green Med",24,144,101
910,"Emerald Green Dark",24,126,86
909,"Emerald Green Vy Dk",21,111,73
3818,"Emerald Grn Ult V Dk",17,90,59
369,"Pistachio Green Vy Lt",215,237,204
368,"Pistachio Green Lt",166,194,152
320,"Pistachio Green Med",105,136,90
367,"Pistachio Green Dk",97,122,82
319,"Pistachio Grn Vy Dk",32,95,46
890,"Pistachio Grn Ult V D",23,73,35
164,"Forest Green Lt",200,216,184
989,"Forest Green ",141,166,117
988,"Forest Green Med",115,139,91
987,"Forest Green Dk",88,113,65
986,"Forest Green Vy Dk",64,82,48
772,"Yellow Green Vy Lt",228,236,212
3348,"Yellow Green Lt",204,217,177
3347,"Yellow Green Med",113,147,92
3346,"Hunter Green",64,106,58
3345,"Hunter Green Dk",27,89,21
895,"Hunter Green Vy Dk",27,83,0
704,"Chartreuse Bright",158,207,52
703,"Chartreuse",123,181,71
702,"Kelly Green",71,167,47
701,"Green Light",63,143,41
700,"Green Bright",7,115,27
699,"Green",5,101,23
907,"Parrot Green Lt",199,230,102
906,"Parrot Green Md",127,179,53
905,"Parrot Green Dk",98,138,40
904,"Parrot Green V Dk",85,120,34
472,"Avocado Grn U Lt",216,228,152
471,"Avocado Grn V Lt",174,191,121
470,"Avocado Grn Lt",148,171,79
469,"Avocado Green",114,132,60
937,"Avocado Green Md",98,113,51
936,"Avocado Grn V Dk",76,88,38
935,"Avocado Green Dk",66,77,33
934,"Avocado Grn Black",49,57,25
523,"Fern Green Lt",171,177,151
3053,"Green Gray",156,164,130
3052,"Green Gray Md",136,146,104
3051,"Green Gray Dk",95,102,72
524,"Fern Green Vy Lt",196,205,172
522,"Fern Green",150,158,126
520,"Fern Green Dark",102,109,79
3364,"Pine Green",131,151,95
3363,"Pine Green Md",114,130,86
3362,"Pine Green Dk",94,107,71
165,"Moss Green Vy Lt",239,244,164
3819,"Moss Green Lt",224,232,104
166,"Moss Green Md Lt",192,200,64
581,"Moss Green",167,174,56
580,"Moss Green Dk",136,141,51
734,"Olive Green Lt",199,192,119
733,"Olive Green Md",188,179,76
732,"Olive Green",148,140,54
731,"Olive Green Dk",147,139,55
730,"Olive Green V Dk",130,123,48
3013,"Khaki Green Lt",185,185,130
3012,"Khaki Green Md",166,167,93
3011,"Khaki Green Dk",137,138,88
372,"Mustard Lt",204,183,132
371,"Mustard",191,166,113
370,"Mustard Medium",184,157,100
834,"Golden Olive Vy Lt",219,190,127
833,"Golden Olive Lt",200,171,108
832,"Golden Olive",189,155,81
831,"Golden Olive Md",170,143,86
830,"Golden Olive Dk",141,120,75
829,"Golden Olive Vy Dk",126,107,66
613,"Drab Brown V Lt",220,196,170
612,"Drab Brown Lt",188,154,120
611,"Drab Brown",150,118,86
610,"Drab Brown Dk",121,96,71
3047,"Yellow Beige Lt",231,214,193
3046,"Yellow Beige Md",216,188,154
3045,"Yellow Beige Dk",188,150,106
167,"Yellow Beige V Dk",167,124,73
746,"Off White",252,252,238
677,"Old Gold Vy Lt",245,236,203
422,"Hazelnut Brown Lt",198,159,123
3828,"Hazelnut Brown",183,139,97
420,"Hazelnut Brown Dk",160,112,66
869,"Hazelnut Brown V Dk",131,94,57
728,"Topaz",228,180,104
783,"Topaz Medium",206,145,36
782,"Topaz Dark",174,119,32
781,"Topaz Very Dark",162,109,32
780,"Topaz Ultra Vy Dk",148,99,26
676,"Old Gold Lt",229,206,151
729,"Old Gold Medium",208,165,62
680,"Old Gold Dark",188,141,14
3829,"Old Gold Vy Dark",169,130,4
3822,"Straw Light",246,220,152
3821,"Straw",243,206,117
3820,"Straw Dark",223,182,95
3852,"Straw Very Dark",205,157,55
445,"Lemon Light",255,251,139
307,"Lemon",253,237,84
973,"Canary Bright",255,227,0
444,"Lemon Dark",255,214,0
3078,"Golden Yellow Vy Lt",253,249,205
727,"Topaz Vy Lt",255,241,175
726,"Topaz Light",253,215,85
725,"Topaz Med Lt",255,200,64
972,"Canary Deep",255,181,21
745,"Yellow Pale Light",255,233,173
744,"Yellow Pale",255,231,147
743,"Yellow Med",254,211,118
742,"Tangerine Light",255,191,87
741,"Tangerine Med",255,163,43
740,"Tangerine",255,139,0
970,"Pumpkin Light",247,139,19
971,"Pumpkin",246,127,0
947,"Burnt Orange",255,123,77
946,"Burnt Orange Med",235,99,7
900,"Burnt Orange Dark",209,88,7
967,"Apricot Very Light",255,222,213
3824,"Apricot Light",254,205,194
3341,"Apricot",252,171,152
3340,"Apricot Med",255,131,111
608,"Burnt Orange Bright",253,93,53
606,"Orange‑Red Bright",250,50,3
951,"Tawny Light",255,226,207
3856,"Mahogany Ult Vy Lt",255,211,181
722,"Orange Spice Light",247,151,111
721,"Orange Spice Med",242,120,66
720,"Orange Spice Dark",229,92,31
3825,"Pumpkin Pale",253,189,150
922,"Copper Light",226,115,35
921,"Copper",198,98,24
920,"Copper Med",172,84,20
919,"Red‑Copper",166,69,16
918,"Red‑Copper Dark",130,52,10
3770,"Tawny Vy Light",255,238,227
945,"Tawny",251,213,187
402,"Mahogany Vy Lt",247,167,119
3776,"Mahogany Light",207,121,57
301,"Mahogany Med",179,95,43
400,"Mahogany Dark",143,67,15
300,"Mahogany Vy Dk",111,47,0
3823,"Yellow Ultra Pale",255,253,227
3855,"Autumn Gold Lt",250,211,150
3854,"Autumn Gold Med",242,175,104
3853,"Autumn Gold Dk",242,151,70
3827,"Golden Brown Pale",247,187,119
977,"Golden Brown Light",220,156,86
976,"Golden Brown Med",194,129,66
3826,"Golden Brown",173,114,57
975,"Golden Brown Dk",145,79,18
948,"Peach Very Light",254,231,218
754,"Peach Light",247,203,191
3771,"Terra Cotta Ult Vy Lt",244,187,169
758,"Terra Cotta Vy Lt",238,170,155
3778,"Terra Cotta Light",217,137,120
356,"Terra Cotta Med",197,106,91
3830,"Terra Cotta",185,85,68
355,"Terra Cotta Dark",152,68,54
3777,"Terra Cotta Vy Dk",134,48,34
3779,"Rosewood Ult Vy Lt",248,202,200
3859,"Rosewood Light",186,139,124
3858,"Rosewood Med",150,74,63
3857,"Rosewood Dark",104,37,26
3774,"Desert Sand Vy Lt",243,225,215
950,"Desert Sand Light",238,211,196
3064,"Desert Sand",196,142,112
407,"Desert Sand Med",187,129,97
3773,"Desert Sand Dark",182,117,82
3772,"Desert Sand Vy Dk",160,108,80
632,"Desert Sand Ult Vy Dk",135,85,57
453,"Shell Gray Light",215,206,203
452,"Shell Gray Med",192,179,174
451,"Shell Gray Dark",145,123,115
3861,"Cocoa Light",166,136,129
3860,"Cocoa",125,93,87
779,"Cocoa Dark",98,75,69
712,"Cream",255,251,239
739,"Tan Ult Vy Lt",248,228,200
738,"Tan Very Light",236,204,158
437,"Tan Light",228,187,142
436,"Tan",203,144,81
435,"Brown Very Light",184,119,72
434,"Brown Light",152,94,51
433,"Brown Med",122,69,31
801,"Coffee Brown Dk",101,57,25
898,"Coffee Brown Vy Dk",73,42,19
938,"Coffee Brown Ult Dk",54,31,14
3371,"Black Brown",30,17,8
543,"Beige Brown Ult Vy Lt",242,227,206
3864,"Mocha Beige Light",203,182,156
3863,"Mocha Beige Med",164,131,92
3862,"Mocha Beige Dark",138,110,78
3031,"Mocha Brown Vy Dk",75,60,42
"B5200","Snow White",255,255,255
"White","White",252,251,248
3865,"Winter White",249,247,241
"ECRU","Ecru",240,234,218
822,"Beige Gray Light",231,226,211
644,"Beige Gray Med",221,216,203
642,"Beige Gray Dark",164,152,120
640,"Beige Gray Vy Dk",133,123,97
3787,"Brown Gray Dark",98,93,80
3021,"Brown Gray Vy Dk",79,75,65
3024,"Brown Gray Vy Lt",235,234,231
3023,"Brown Gray Light",177,170,151
3022,"Brown Gray Med",142,144,120
535,"Ash Gray Vy Lt",99,100,88
3033,"Mocha Brown Vy Lt",227,216,204
3782,"Mocha Brown Lt",210,188,166
3032,"Mocha Brown Med",179,159,139
3790,"Beige Gray Ult Dk",127,106,85
3781,"Mocha Brown Dk",107,87,67
3866,"Mocha Brn Ult Vy Lt",250,246,240
842,"Beige Brown Vy Lt",209,186,161
841,"Beige Brown Lt",182,155,126
840,"Beige Brown Med",154,124,92
839,"Beige Brown Dk",103,85,65
838,"Beige Brown Vy Dk",89,73,55
3072,"Beaver Gray Vy Lt",230,232,232
648,"Beaver Gray Lt",188,180,172
647,"Beaver Gray Med",176,166,156
646,"Beaver Gray Dk",135,125,115
645,"Beaver Gray Vy Dk",110,101,92
844,"Beaver Gray Ult Dk",72,72,72
762,"Pearl Gray Vy Lt",236,236,236
415,"Pearl Gray",211,211,214
318,"Steel Gray Lt",171,171,171
414,"Steel Gray Dk",140,140,140
168,"Pewter Very Light",209,209,209
169,"Pewter Light",132,132,132
317,"Pewter Gray",108,108,108
413,"Pewter Gray Dark",86,86,86
3799,"Pewter Gray Vy Dk",66,66,66
310,"Black",0,0,0
